,aclass,amount,asset,balance,fee,refid,time,type,subtype
0,currency,0.0567156908,MINA.F,30.3043891017,0.0113431381,EL35WJJ-JUPBR-GYK6PJ,2025-05-17 23:30:50.541177988,staking,
1,currency,0.0456137382,MINA.F,30.2590165490,0.0091227476,ELYIUNU-2EUDB-TGJ63N,2025-05-10 23:31:08.401307106,staking,
2,currency,0.0765319454,MINA.F,30.2225255584,0.0153063890,EL75JL4-PBUUP-EX5NRC,2025-05-05 15:25:37.347942114,staking,
3,currency,0.0696420339,MINA.F,30.1613000020,0.0139284067,EL5XOFM-K6YA2-IZ6N75,2025-04-28 14:39:59.242795944,staking,
4,currency,0.0851383482,MINA.F,30.1055863748,0.0170276696,EL6DO6E-SKNII-T75DLE,2025-04-21 14:40:09.360488892,staking,
5,currency,0.0570769521,MINA.F,30.0374756962,0.0114153904,EL3ULYM-GAYAY-STUTEU,2025-04-14 14:40:11.778827906,staking,
6,currency,0.0585946611,MINA.F,29.9918141345,0.0117189322,ELAM3MA-7XGOF-4WXEAU,2025-04-07 14:40:02.506736040,staking,
7,currency,0.0603332679,MINA.F,29.9449384056,0.0120666535,EL5JNOC-ZAVKF-35SAKT,2025-03-31 14:40:01.042010069,staking,
8,currency,0.0568087899,MINA.F,29.8966717912,0.0113617579,ELSQJES-IPT4E-NQB6UK,2025-03-24 14:40:03.794898987,staking,
9,currency,0.0514177853,MINA.F,29.8512247592,0.0102835570,ELYD4XT-P32BM-JRLDAU,2025-03-17 14:40:05.816890955,staking,
10,currency,0.0507203028,MINA.F,29.8100905309,0.0101440605,ELXRKLY-SSMEC-ZDQBH4,2025-03-10 14:39:37.616662025,staking,
11,currency,0.0513909265,MINA.F,29.7695142886,0.0102781853,ELVEYUN-SC5UZ-GECCGU,2025-03-03 14:40:05.080976963,staking,
12,currency,0.0526267558,MINA.F,29.7284015474,0.0105253511,ELZZEAN-VRHJV-GQEVCT,2025-02-24 14:39:42.360045910,staking,
13,currency,0.0542539214,MINA.F,29.6863001427,0.0108507842,ELUTB7X-SPWWN-2O7XCN,2025-02-17 14:39:55.566488981,staking,
14,currency,0.0531549686,MINA.F,29.6428970055,0.0106309937,EL6IDXH-WCMW3-FWD7IU,2025-02-10 14:39:59.714411974,staking,
15,currency,0.0516646956,MINA.F,29.6003730306,0.0103329391,ELTCPTR-IKBXG-WWJEC7,2025-02-03 14:39:47.487097025,staking,
16,currency,25.80342000,XXRP,308.16273202,0.00000000,TSGET44-EVSZ4-GFZZSB,2025-02-02 17:53:10.040020943,receive,
17,currency,-54.1900,ZGBP,72.3178,0.8100,TSGET44-EVSZ4-GFZZSB,2025-02-02 17:53:10.040020943,spend,
18,currency,0.0541908362,MINA.F,29.5590412741,0.0108381672,ELSFQGK-IPSBZ-H7UF4M,2025-01-27 14:39:36.006889105,staking,
19,currency,0.0532653533,MINA.F,29.5156886051,0.0106530706,EL42CWB-YHL24-OW62M3,2025-01-20 14:39:43.948992968,staking,
20,currency,0.0529069105,MINA.F,29.4730763224,0.0105813821,ELICMHP-DCEMX-QGOTO2,2025-01-13 14:39:45.603319883,staking,
21,currency,0.0537867119,MINA.F,29.4307507940,0.0107573423,EL3IMR3-CIY2M-LXHI3V,2025-01-06 14:39:45.262908935,staking,
22,currency,0.0502824420,MINA.F,29.3877214244,0.0100564884,ELMBIXG-U3XKN-ZCLJEY,2024-12-30 14:39:56.150536060,staking,
23,currency,0.0502135004,MINA.F,29.3474954708,0.0100427000,ELGQRKX-QIBJR-XQORTS,2024-12-23 14:39:28.754170895,staking,
24,currency,0.0462795543,MINA.F,29.3073246704,0.0092559108,ELDADNW-2EMRQ-QXHTIR,2024-12-16 14:39:29.740540028,staking,
25,currency,20.38326000,XXRP,282.35931202,0.00000000,TS5B5WS-PRKBD-FK6Q2B,2024-12-10 18:11:08.747858047,receive,
26,currency,-30.5400,ZGBP,127.3178,0.4600,TS5B5WS-PRKBD-FK6Q2B,2024-12-10 18:11:08.747858047,spend,
27,currency,0.0453762836,MINA.F,29.2703010269,0.0090752567,ELJT2TJ-SDL6P-IPFAGX,2024-12-09 14:39:30.890868902,staking,
28,currency,29.2340000000,MINA.F,29.2340000000,0.0000000000,ELWL4P3-7X7BG-NEJFTZ,2024-12-02 20:28:46.227248907,transfer,autoallocate
29,currency,-29.2340000000,MINA,0.0000000000,0.0000000000,ELWL4P3-7X7BG-NEJFTZ,2024-12-02 20:28:46.227248907,transfer,autoallocate
30,currency,29.2340000000,MINA,29.2340000000,0.0000000000,TSSGYPK-5BXFD-BP4ATL,2024-12-02 20:28:45.814966917,receive,
31,currency,-19.8000,ZGBP,158.3178,0.2000,TSSGYPK-5BXFD-BP4ATL,2024-12-02 20:28:45.814966917,spend,
32,currency,-200.0000,ZGBP,178.3178,1.9500,FTYKZ4F-ETaPUgUtSj962xd39oJLSQ,2024-12-02 19:43:51.576149940,withdrawal,
33,currency,94.4000,ZGBP,380.2678,1.4000,TSWSAYA-WA6VY-WUESUI,2024-11-19 00:49:38.793916941,receive,
34,currency,-104.87984000,XXRP,261.97605202,0.00000000,TSWSAYA-WA6VY-WUESUI,2024-11-19 00:49:38.793916941,spend,
35,currency,25.3800,ZGBP,287.2678,0.3800,TS5FGX6-52E6U-UNEZGA,2024-11-16 05:35:40.803611994,receive,
36,currency,-32.94385000,XXRP,366.85589202,0.00000000,TS5FGX6-52E6U-UNEZGA,2024-11-16 05:35:40.803611994,spend,
37,currency,47.9800,ZGBP,262.2678,0.4800,TSSUPQP-S4G7B-I3GG7D,2024-08-07 22:06:35.534403086,receive,
38,currency,-99.06003000,XXRP,399.79974202,0.00000000,TSSUPQP-S4G7B-I3GG7D,2024-08-07 22:06:35.534403086,spend,
39,currency,60.12573000,XXRP,498.85977202,0.00000000,TSCXJMA-7XR64-NYEE4F,2024-08-05 13:26:54.930052996,receive,
40,currency,-20.4400,ZGBP,214.7678,0.3100,TSCXJMA-7XR64-NYEE4F,2024-08-05 13:26:54.930052996,spend,
41,currency,43.08620000,XXRP,438.73404202,0.00000000,TSOHGAN-562XA-PPRQJ3,2024-08-05 06:23:22.534749985,receive,
42,currency,-15.2700,ZGBP,235.5178,0.2300,TSOHGAN-562XA-PPRQJ3,2024-08-05 06:23:22.534749985,spend,
43,currency,11.1100,ZGBP,251.0178,0.1100,TSBRPL4-HPLUT-L6WOJ3,2024-07-24 10:36:23.596231937,receive,
44,currency,-23.43895000,XXRP,395.64784202,0.00000000,TSBRPL4-HPLUT-L6WOJ3,2024-07-24 10:36:23.596231937,spend,
45,currency,39.8200,ZGBP,240.0178,0.5900,TSUVGY5-GNHXE-NZRZOC,2024-07-17 04:55:50.253813028,receive,
46,currency,-84.62584000,XXRP,419.08679202,0.00000000,TSUVGY5-GNHXE-NZRZOC,2024-07-17 04:55:50.253813028,spend,
47,currency,31.3100,ZGBP,200.7878,0.3100,TSF5CZY-TC3CK-N7FQ2T,2024-07-14 10:35:12.128496885,receive,
48,currency,-78.50117000,XXRP,503.71263202,0.00000000,TSF5CZY-TC3CK-N7FQ2T,2024-07-14 10:35:12.128496885,spend,
49,currency,93.66661000,XXRP,582.21380202,0.00000000,TSJA5ED-QGRJC-VGZSXG,2024-07-05 02:57:29.259892941,receive,
50,currency,-30.5400,ZGBP,169.7878,0.4600,TSJA5ED-QGRJC-VGZSXG,2024-07-05 02:57:29.259892941,spend,
51,currency,150.04382000,XXRP,488.54719202,0.00000000,TSXJUZ5-OKBMF-SDL67P,2024-07-04 13:07:17.208864927,receive,
52,currency,-52.2200,ZGBP,200.7878,0.7800,TSXJUZ5-OKBMF-SDL67P,2024-07-04 13:07:17.208864927,spend,
53,currency,48.5300,ZGBP,253.7878,0.7200,TSEPJMY-QXHTL-C3HBFA,2024-04-21 06:26:48.863015890,receive,
54,currency,-112.83445000,XXRP,338.50337202,0.00000000,TSEPJMY-QXHTL-C3HBFA,2024-04-21 06:26:48.863015890,spend,
55,currency,174.07690000,XXRP,451.33782202,0.00000000,TSOTW3A-4KVY5-A4GFPD,2024-04-13 20:08:58.662710905,receive,
56,currency,-64.0400,ZGBP,205.9778,0.9600,TSOTW3A-4KVY5-A4GFPD,2024-04-13 20:08:58.662710905,spend,
57,currency,77.89340000,XXRP,277.26092202,0.00000000,TSJQKVO-D4RZW-6TRR2T,2024-04-13 20:07:47.178792953,receive,
58,currency,-29.5600,ZGBP,270.9778,0.4400,TSJQKVO-D4RZW-6TRR2T,2024-04-13 20:07:47.178792953,spend,
59,currency,73.0800,ZGBP,300.9778,1.0800,TSKBGEK-J5BYN-LGKB57,2024-03-05 11:50:47.147366047,receive,
60,currency,-145.25183000,XXRP,199.36752202,0.00000000,TSKBGEK-J5BYN-LGKB57,2024-03-05 11:50:47.147366047,spend,
61,currency,97.1600,ZGBP,228.9778,1.4400,TSEVWLZ-D7JKX-KACUGZ,2023-11-06 12:59:22.833393097,receive,
62,currency,-168.82073000,XXRP,344.61935202,0.00000000,TSEVWLZ-D7JKX-KACUGZ,2023-11-06 12:59:22.833393097,spend,
63,currency,338.44008000,XXRP,513.44008202,0.00000000,TSAW2IF-6PUKV-JSIOUW,2023-08-19 13:19:24.449132919,receive,
64,currency,-134.9800,ZGBP,133.2578,2.0200,TSAW2IF-6PUKV-JSIOUW,2023-08-19 13:19:24.449126959,spend,
65,currency,106.1100,ZGBP,270.2578,1.5700,TSF23XS-RYNI5-YTQ4GD,2023-07-14 11:41:31.806859016,receive,
66,currency,-175.00000000,XXRP,175.00000202,0.00000000,TSF23XS-RYNI5-YTQ4GD,2023-07-14 11:41:31.806847095,spend,
67,currency,139.7400,ZGBP,165.7178,2.0700,TSNZINZ-FS4IA-ADW55C,2023-06-22 06:47:07.390633106,receive,
68,currency,-350.00000000,XXRP,350.00000202,0.00000000,TSNZINZ-FS4IA-ADW55C,2023-06-22 06:47:07.390626907,spend,
69,currency,28.4600,ZGBP,28.0478,0.4200,TSHEP46-QRZTX-4JUILQ,2023-06-04 15:37:15.557070971,receive,
70,currency,-66.15694000,XXRP,700.00000202,0.00000000,TSHEP46-QRZTX-4JUILQ,2023-06-04 15:37:15.557065010,spend,
71,currency,639.24509000,XXRP,766.15694202,0.00000000,TSMS5S2-VGW3O-QFFRA2,2023-05-08 18:09:21.502208948,receive,
72,currency,-211.8500,ZGBP,0.0078,3.1800,TSMS5S2-VGW3O-QFFRA2,2023-05-08 18:09:21.502203941,spend,
73,currency,15.2300,ZGBP,215.0378,0.2300,TS26MTL-FIS5O-ZGR72E,2023-03-29 08:34:45.619014025,receive,
74,currency,-32.82170000,XXRP,126.91185202,0.00000000,TS26MTL-FIS5O-ZGR72E,2023-03-29 08:34:45.619009972,spend,
75,currency,199.8758,ZGBP,200.0378,0.5196,TSVTTR-VM5BP-44BB4H,2023-03-27 12:59:37.333776951,trade,tradespot
76,currency,-508.72462735,XXRP,159.73355202,0.00000000,TSVTTR-VM5BP-44BB4H,2023-03-27 12:59:37.333772898,trade,tradespot
77,currency,668.45817937,XXRP,668.45817937,0.00000000,TDMDKV-USYPR-54G5IN,2023-01-18 16:22:09.525471926,trade,tradespot
78,currency,-199.0000,ZGBP,0.6816,0.3184,TDMDKV-USYPR-54G5IN,2023-01-18 16:22:09.525468111,trade,tradespot
79,currency,200.0000,ZGBP,200.0000,0.0000,FTcZJ7K-yryGbLpDDMTQI8bt3NZMHr,2023-01-17 02:35:19.464037895,deposit,
